year,injuries,fatalities,region,count
1970,0,1,Sub-Saharan Africa,3
1971,0,0,Sub-Saharan Africa,1
1973,0,0,Sub-Saharan Africa,1
1974,0,3,Sub-Saharan Africa,4
1975,0,0,Sub-Saharan Africa,4
1976,0,0,Sub-Saharan Africa,5
1977,0,5,Sub-Saharan Africa,4
1978,0,25,Sub-Saharan Africa,2
1979,8,101,Sub-Saharan Africa,4
1983,0,0,Sub-Saharan Africa,3
1984,200,200,Sub-Saharan Africa,1
1985,0,0,Sub-Saharan Africa,1
1986,0,40,Sub-Saharan Africa,1
1987,0,0,Sub-Saharan Africa,1
1988,0,0,Sub-Saharan Africa,2
1989,0,1,Sub-Saharan Africa,1
1990,0,17,Sub-Saharan Africa,10
1991,0,161,Sub-Saharan Africa,5
1992,332,330,Sub-Saharan Africa,13
1994,1,6,Sub-Saharan Africa,4
1995,4,5,Sub-Saharan Africa,5
1996,27,133,Sub-Saharan Africa,7
1997,135,8,Sub-Saharan Africa,6
1999,2,2,Sub-Saharan Africa,2
2000,0,3,Sub-Saharan Africa,1
2002,37,1,Sub-Saharan Africa,3
2003,9,2,Sub-Saharan Africa,1
2004,16,1,Sub-Saharan Africa,2
2005,37,9,Sub-Saharan Africa,5
2006,56,12,Sub-Saharan Africa,11
2007,52,204,Sub-Saharan Africa,5
2008,82,27,Sub-Saharan Africa,8
2009,0,13,Sub-Saharan Africa,2
2010,20,8,Sub-Saharan Africa,2
2011,3,2,Sub-Saharan Africa,3
2012,8,25,Sub-Saharan Africa,3
2013,0,17,Sub-Saharan Africa,5
2014,6,9,Sub-Saharan Africa,2
2015,43,48,Sub-Saharan Africa,7
2016,83,279,Sub-Saharan Africa,13
