year,injuries,fatalities,region,count
1970,1,2,South America,6
1971,0,0,South America,3
1972,1,0,South America,1
1973,15,0,South America,2
1976,1,0,South America,5
1977,1,0,South America,1
1978,1,1,South America,5
1979,0,4,South America,6
1980,3,19,South America,19
1981,3,2,South America,11
1982,0,27,South America,4
1983,12,0,South America,8
1984,1,0,South America,5
1985,0,0,South America,1
1986,0,14,South America,3
1987,11,0,South America,1
1988,0,0,South America,2
1989,0,1,South America,5
1990,4,3,South America,7
1991,17,12,South America,24
1992,10,28,South America,24
1994,4,15,South America,19
1995,40,13,South America,23
1996,9,22,South America,18
1997,15,28,South America,39
1998,0,0,South America,2
1999,0,1,South America,1
2000,0,0,South America,2
2001,0,1,South America,3
2002,0,0,South America,1
2003,0,0,South America,1
2006,11,1,South America,3
2012,0,1,South America,1
2013,0,2,South America,3
2014,0,2,South America,3
2015,0,3,South America,5
2016,0,1,South America,1
